;tfidf1.txt;tfidf2.txt;tfidf3.txt;tfidf4.txt;tfidf5.txt;
дублирующих;0;0;0;1;0;
вопрос;0;0;1;0;0;
блюдами;0;0;0;0;1;
удовольствие;1;0;0;0;0;
идёт;0;0;0;0;1;
цены;0;0;0;0;1;
полувека;0;0;0;1;0;
спрашивают;0;1;0;0;0;
дни;0;0;1;0;0;
инструкции;1;0;0;0;0;
всё;1;0;1;1;0;
лежало;0;0;0;1;0;
вопросом;1;0;0;0;0;
уровнем;0;0;1;0;0;
ресурсов;0;0;0;1;0;
инструмент;0;0;0;0;1;
правила;1;0;0;0;0;
показали;0;1;0;0;0;
пойду;0;0;1;0;0;
работе;1;0;0;1;0;
каждый;1;0;0;1;0;
голову;0;0;0;0;1;
исполнимых;0;0;0;1;0;
чакры;1;0;0;0;0;
суперширокий;0;0;1;0;0;
добавляют;0;0;0;0;1;
закусывают;0;0;0;0;1;
та;0;0;0;1;0;
гордо;1;0;0;0;0;
инструментов;0;0;0;1;0;
шезлонге;0;0;0;0;1;
оттуда;1;0;0;0;0;
мегамонстров;0;0;0;1;0;
узнал;0;0;1;0;0;
похмелье;0;0;0;0;1;
домен;1;0;0;0;0;
ли;0;1;0;0;0;
деловой;1;0;0;0;0;
ноутбуке;1;0;0;0;0;
чтобы;0;0;1;1;0;
штаб;0;1;0;0;0;
пусть;0;0;0;0;1;
идее;1;0;0;0;0;
алкоголики;0;0;0;0;1;
случайно;1;0;0;0;0;
заберут;0;1;0;0;0;
поручить;0;0;0;1;0;
день;0;0;1;0;0;
самые;0;0;0;1;0;
были;0;0;0;1;0;
существуют;0;0;1;1;0;
minihdmi;0;0;1;0;0;
стратегов;0;0;0;0;1;
текстового;0;0;0;1;0;
столичную;1;0;0;0;0;
документы;1;0;0;0;0;
закусь;0;0;0;0;1;
surround;0;0;1;0;0;
пинают;0;0;0;0;1;
концентрированный;0;0;0;0;1;
свежесделанного;1;0;0;0;0;
все;0;1;1;0;0;
библиотек;0;0;0;1;0;
привык;0;0;0;0;1;
разумеется;1;0;0;0;0;
короче;0;0;0;1;0;
os;0;0;0;0;1;
пришла;0;0;0;1;0;
терминалам;0;0;0;1;0;
сисадмина;0;0;1;0;0;
dllки;0;0;1;0;0;
пересчитать;0;0;0;0;1;
заняв;0;0;0;1;0;
игрушек;0;0;0;1;0;
собеседование;0;0;1;0;0;
имени;1;0;0;0;0;
установка;0;0;1;0;0;
запуска;0;0;0;1;0;
тупого;0;0;1;0;0;
позже;0;0;0;1;0;
dvid;0;0;1;0;0;
создавали;0;0;0;1;0;
конструктор;0;0;0;0;1;
решениям;0;0;0;1;0;
часто;0;0;0;1;1;
скриншоты;1;0;0;0;0;
шкафа;0;0;1;0;0;
портвейн;0;0;0;0;1;
любители;0;0;0;0;1;
никаких;0;0;0;0;1;
буржуи;0;0;0;1;0;
ананас;0;0;0;1;0;
вроде;1;0;0;0;0;
гугл;0;0;1;0;0;
в;1;1;1;1;1;
ворота;0;1;0;0;0;
пользования;1;0;0;0;0;
родилась;0;0;0;1;0;
иерархией;0;0;0;1;0;
сохранить;1;0;0;0;0;
системах;0;0;0;1;0;
тенями;0;0;0;0;1;
преобразователем;0;0;1;0;0;
изза;0;0;0;1;0;
пересекались;0;0;0;1;0;
часть;0;0;0;1;0;
отмирало;0;0;0;1;0;
данных;0;0;0;1;0;
после;0;0;1;0;1;
шла;0;0;0;1;0;
ненадобностью;0;0;0;1;0;
интерфейс;1;0;0;0;0;
наличии;0;0;1;0;0;
скриншота;1;0;0;0;0;
может;0;1;1;0;0;
определённая;0;0;0;1;0;
где;1;1;0;0;0;
приходить;0;0;0;1;0;
выделение;1;0;0;0;0;
зрения;1;0;0;0;1;
пока;0;0;0;1;0;
этаж;0;1;0;0;0;
считали;0;0;0;1;0;
тематике;0;0;0;0;1;
подмена;0;0;1;0;0;
чипсы;0;0;0;0;1;
отпивать;0;0;0;0;1;
устроена;0;0;0;0;1;
сохранять;1;0;0;0;0;
компании;0;0;0;0;1;
собственные;0;0;0;1;0;
софт;1;0;0;0;0;
речь;1;0;0;0;0;
запускалки;0;0;0;1;0;
новый;0;0;0;1;0;
иерархия;0;0;0;1;0;
иметь;0;0;0;0;1;
делающих;0;0;0;1;0;
сетью;0;0;0;1;0;
ещё;0;0;1;1;1;
открытого;1;0;0;0;0;
набора;1;0;0;0;0;
чёткой;1;0;0;0;0;
положено;0;0;0;0;1;
только;1;0;1;1;1;
доза;0;0;0;0;1;
транспорте;0;0;0;0;1;
функции;0;0;0;1;0;
маленькой;0;0;1;0;0;
вместо;0;0;0;1;0;
претензий;0;0;0;0;1;
до;0;0;0;0;1;
умеющих;0;0;0;1;0;
популярного;1;0;0;0;0;
ищут;0;1;0;0;0;
сначала;0;0;1;0;0;
программного;1;0;0;0;0;
тоже;1;0;0;0;1;
excel;0;1;0;0;0;
да;0;0;1;0;1;
красоты;0;0;0;1;0;
работы;1;0;0;1;1;
претензией;0;0;0;0;1;
бесплатный;1;0;0;0;0;
имеют;0;0;0;0;1;
второй;0;0;1;0;0;
придумали;0;1;0;0;0;
устройствам;0;0;0;1;0;
со;0;0;0;1;1;
существует;0;0;1;0;0;
почтового;0;0;0;1;0;
реализации;0;0;0;1;0;
основе;0;0;0;1;0;
генералу;0;1;0;0;0;
оптимизированы;0;0;0;1;0;
мышкой;1;0;0;0;0;
вам;0;0;1;0;0;
разрешение;0;0;1;0;0;
третьей;1;0;0;0;0;
видео;0;0;1;0;0;
стрельца;1;0;0;0;0;
пакета;1;0;0;0;0;
функциональности;0;0;0;0;1;
новые;0;0;1;0;0;
грозят;0;0;0;0;1;
чёрт;1;0;0;0;0;
как;1;0;1;1;1;
dvi;0;0;1;0;0;
отмирали;0;0;0;1;0;
программ;0;0;0;1;1;
которых;0;0;1;0;0;
закрытые;1;0;0;0;0;
функций;0;0;0;1;0;
дисков;0;0;0;1;0;
белых;0;1;0;0;0;
структура;0;0;0;1;0;
суммарной;0;0;1;0;0;
настолько;0;0;1;1;0;
машинных;0;0;0;1;0;
сама;0;0;0;1;0;
быдлокодеров;0;0;0;0;1;
взрослая;0;0;0;1;0;
жизни;0;0;0;0;1;
устройство;0;0;0;1;1;
навыки;0;0;1;0;0;
отображалось;0;0;1;0;0;
